date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,8.6,3.4,13,0,,,,,,
2018-01-02,12.3,8.6,15.4,0,,,,,,
2018-01-03,11.2,10,,8.1,10,,,,,
2018-01-04,10.3,7.4,12.6,13.5,10,,,,,
2018-01-05,9.9,,12.9,1.8,,,,,,
2018-01-06,8.7,4.2,13.2,0,,,,,,
2018-01-07,12.5,7.2,17.1,0,,,,,,
2018-01-08,11.8,,16.7,0,,,,,,
2018-01-09,10.8,7.2,15,0,,,,,,
2018-01-10,10.8,7,14.3,0,,,,,,
2018-01-11,13.2,10.8,16.3,2,,,,,,
2018-01-12,13.1,,15.6,22.9,10,,,,,
2018-01-13,10.6,,11.7,0,,,,,,
2018-01-14,8.6,,11.8,14.7,,,,,,
2018-01-15,7.4,3.4,11,0,,,,,,
2018-01-16,9.7,6.8,10.9,0,,,,,,
2018-01-17,12.6,8.9,,5.6,,,,,,
2018-01-18,9.3,,,9.9,10,,,,,
2018-01-19,6.9,1.7,12.2,1.8,,,,,,
2018-01-20,11.1,5.4,14.3,0,,,,,,
2018-01-21,14.3,,16,1,,,,,,
2018-01-22,10.7,,12.3,8.9,10,,,,,
2018-01-23,7.4,5.6,10.6,7.6,,,,,,
2018-01-24,6.5,,8.9,0,,,,,,
2018-01-25,5.3,3.7,8.5,0,,,,,,
2018-01-26,5.8,2.9,9.9,0,,,,,,
2018-01-27,6.1,1.6,11,0,,,,,,
2018-01-28,6.9,2.2,11.4,0,,,,,,
2018-01-29,7.1,1.7,12.9,0,,,,,,
2018-01-30,8.9,3.9,15.6,0,,,,,,
2018-01-31,9.6,4.4,15.5,0,,,,,,
2018-02-01,12.9,7.5,17.6,0,,,,,,
2018-02-02,14.6,12.9,16.9,0,,,,,,
2018-02-03,14.6,,16.4,0.5,,,,,,
2018-02-04,16.2,14.3,18.1,0,,,,,,
2018-02-05,12.5,,,10.4,,,,,,
2018-02-06,10.6,,14.4,3,,,,,,
2018-02-07,14.4,7.9,19.2,0,,,,,,
2018-02-08,16.2,,20,0,,,,,,
2018-02-09,13.4,10.8,17.8,0,,,,,,
2018-02-10,13.2,11.1,,1.8,,,,,,
2018-02-11,14.2,,17.6,14.2,,,,,,
2018-02-12,10.1,,14.7,3.6,,,,,,
2018-02-13,10.8,5.2,15.4,2.8,,,,,,
2018-02-14,12.3,8.9,16.7,15.7,,,,,,
2018-02-15,10.3,,12.5,8.9,,,,,,
2018-02-16,11.5,7.3,16.4,18.3,,,,,,
2018-02-17,10.6,7,15.1,0,,,,,,
2018-02-18,10.4,5.8,15.5,0,,,,,,
2018-02-19,11.1,8,14.9,0,,,,,,
2018-02-20,11.1,9.3,12.6,0.5,,,,,,
2018-02-21,13.1,10.7,17.2,1.5,,,,,,
2018-02-22,13.5,,17.1,7.6,,,,,,
2018-02-23,12.5,8.7,16.9,2,,,,,,
2018-02-24,10.7,7.8,15.5,0,,,,,,
2018-02-25,10.3,,13.4,20.6,,,,,,
2018-02-26,10.2,6.8,13.5,0,,,,,,
2018-02-27,12.7,8.3,17.9,11.9,,,,,,
2018-02-28,12.4,,17.8,8.9,,,,,,
2018-03-01,8.4,3.6,12.5,11.2,,,,,,
2018-03-02,12.7,6.4,16.5,0,,,,,,
2018-03-03,17.6,13.5,21.6,0.3,,,,,,
2018-03-04,17.6,15.1,21.4,1.8,,,,,,
2018-03-05,17.5,13.9,22.5,0,,,,,,
2018-03-06,17.7,15.3,21.2,0.5,,,,,,
2018-03-07,19,15.7,22.9,0,,,,,,
2018-03-08,17.4,,19.7,0,,,,,,
2018-03-09,15.4,12.5,19,0,,,,,,
2018-03-10,14.1,9.2,18.5,0,,,,,,
2018-03-11,15.6,9.8,22,0,,,,,,
2018-03-12,16.6,13,20.6,0,,,,,,
2018-03-13,16.9,14.7,20.8,0,,,,,,
2018-03-14,16.2,13.1,20.7,2.5,,,,,,
2018-03-15,14.4,,19.1,11.7,,,,,,
2018-03-16,14.5,9.8,19.3,0,,,,,,
2018-03-17,18.3,13.7,22.3,0,,,,,,
2018-03-18,19.4,,22.6,0.3,,,,,,
2018-03-19,17.7,15.1,22.6,0,,,,,,
2018-03-20,16.5,,20.3,0.8,,,,,,
2018-03-21,16.2,10.9,20.7,0,,,,,,
2018-03-22,19.7,14.8,23.7,0,,,,,,
2018-03-23,17.7,,,0,,,,,,
2018-03-24,13.1,9.7,18.1,6.6,,,,,,
2018-03-25,13.8,10.3,17.4,13.5,,,,,,
2018-03-26,17.6,13.6,20.9,0.3,,,,,,
2018-03-27,16.8,13.6,21,0,,,,,,
2018-03-28,16.1,,20.5,0,,,,,,
2018-03-29,11,,13.9,0,,,,,,
2018-03-30,12.6,5.3,19.3,2,,,,,,
2018-03-31,16.9,9.8,22.8,0,,,,,,
2018-04-01,18.5,13.8,24,0.3,,,,,,
2018-04-02,16.1,,19.3,1.8,,,,,,
2018-04-03,16.3,8.9,22.2,0,,,,,,
2018-04-04,16,9.7,22.5,0,,,,,,
2018-04-05,16.9,9.4,24.4,0,,,,,,
2018-04-06,17.3,11.6,23.3,0,,,,,,
2018-04-07,16.4,,20.6,0,,,,,,
2018-04-08,15.2,11.1,19.6,2,,,,,,
2018-04-09,16.1,12.2,21.1,0,,,,,,
2018-04-10,17.8,11.7,23.6,0,,,,,,
2018-04-11,17.4,13.7,22.2,0,,,,,,
2018-04-12,19.3,14,26.1,0,,,,,,
2018-04-13,20.1,13.3,27.6,0,,,,,,
2018-04-14,19.9,13.2,26.5,0,,,,,,
2018-04-15,20.7,13.4,26.5,0,,,,,,
